,objek wisata,ulasan,atraksi,amenitas,aksesibilitas
2621,wbl,"Akses ke tempat wisata bahari dapat dilakukan dengan berbagai jenis kendaraan, mulai dari mobil, motor, hingga sepeda",,,positif
1523,gunung pegat,Tempat paling asri...,positif,,
962,goa maharani,"Tempat rekreasi yg cocok untuk keluarga, sambil mengenalkan bermacam2 hewan yg ada, sepertinya wahana di gua maharani ada yg baru...tapi kemarin waktu kesana blm dibuka, mungkin saat ini sudah dibuka, tempatnya bersih...semoga orang2 pada sadar untuk membuang sampah pada tempatnya, agar selalu terjaga kebersihannya, tetap jaga prokes, semoga bumi segera sehat",positif,positif,
736,alun alun,Semakin baik drpd sebelum2nya... Namun sayang kdg2 msh menemukan sampah berserakan...,,negatif,
1175,gunung mas mantup,"wisata baru, ada danau bebek, tempat chil nongkrong so was amzz  bareng keluarga, enak buat ngilangin penat sejenak, enak bnget sore"" disini, fasilitas toilet, mushola, warung, tempat parkir oke. thank u. terus berkembang",positif,positif,
1397,gunung pegat,Tempat rekreasi yg asik,positif,,
2179,wbl,Baik,,,
2376,wbl,Salah satu destinasi wisata di pinggir pantai Utara bagian Lamongan,positif,,
168,alun alun,Taman alun-alun yg bagus terutama di tempatkan masjid agung di situ sangat berguna sekali,positif,,
1176,gunung mas mantup,Tempat luas enak buat bermain anak2 parkirnya luas,,positif,
657,alun alun,"Nyaman, asri dan bersih",positif,positif,
382,alun alun,"Bersih, suasana nyaman, ramai sekali sore hari",,positif,
2735,wego,Tempatnya enak,,,
2336,wbl,Wisata yg terletak di paciran masuk daerah lamongan dulu namanya pantai Tanjung kodok. Sudah ke dua kali kesini..makin banyak wahana tambahan nya. Ada tiket terusan ke goa maharani. Saran ..klo kesini pagi aja biar semua wahana bisa dinikmati dan bisa cuzz ke goa juga karena tutup jam 4 sore.,positif,,
1091,goa maharani,akses tidak susah,,,positif
843,alun alun,Alun-alun yang letaknya di pusat kota menjadi pusat kegiatan dan kehidupan sosial bagi masyarakat,,,positif
1603,pantai kutang,Bagus buat jepret jeprat(foto),positif,,
2752,wego,Tempatnya bagus,positif,,
1992,waduk gondang,Bagus pemandangan,positif,,
1780,pantai lorena,"Tempatnya bagus buat yg suka menikmati pantai sambil ngopi"" cocok nihhh",positif,,
2590,wbl,Seru buat liburan keluarga,positif,,
1728,pantai lorena,enak buat sekedar ngopi atau ngrujak sambil menikmati suasana pantai.,positif,,
152,alun alun,"Banyak permainan anak, tempat nya nyaman",positif,positif,
1785,pantai lorena,"Alternatif wisata murah meriah cocok untuk menghabiskan long weekend seperti sekarang, tipikal pantai berkarang dengan angin sepoi-sepoi dan banyak jualan makanan di sekitarnya",positif,positif,
1944,pantai lorena,"Lokasinya strategis, pinggir jalan raya, viewnya bagus sekali",positif,,positif
1951,pantai lorena,pantai yg sangat bagus..pasir putih dan dekat dgn jalan Top BGT,positif,,positif
1000,goa maharani,"Sarana Edukasi dan Rekreasi yang pas buat semua Kalangan, cocok buat Liburan Keluarga... Selain bisa melihat Satwa, bisa juga melihat koleksi bebatuan Alami yang ada di Goa Maharani.",positif,,
2333,wbl,"Tempat yang cocok banget buat anak-anak. Ada berbagai permainan yang menarik buat anak-anak sampai orang dewasa. Dan ada kolam renang yang tentunya bisa dipakai segala usia. Kalo kesini mending beli tiket terusan wbl+mzg karena biar sekalian bisa keliling liat berbagai macam hewan + masuk ke Goa Maharani. Selain itu hampir semua permainan free kalo pake tiket terusan jadi enak bisa main sepuasnya. Selain itu mending datengnya agak pagi biar waktunya lebih lama dan santai nggak keburu tutup, karena tutupnya sekarang sampai jam 4 sore aja.",positif,,
1910,pantai lorena,Padat,,,
2866,goa maharani,"Sayangnya, jalan menuju objek wisata ini sangat berlubang",,,negatif
1164,gunung mas mantup,kedepannya ditambah banyak  fasilitas yg lebih baik lagi,positif,,
2493,wbl,mantab,,,
2000,waduk gondang,Tempatnya rindang,positif,,
2615,wbl,tolong petunjuk jalan nya perbanyak lagi,,,negatif
901,goa maharani,Maharani zoo yg sekaran sdh jauh lebih bagus sekali buanyak perkembangannya banyak hewan satwanya jg dn Gua Maharani jg sdh banyak perubahan lebih bagus sekali yg sekarang ini,positif,,
876,goa maharani,"Seru,,, tempatnya bersih.
Saran aja sih, lebih di banyakin mainan buat anak2.",negatif,positif,
1260,gunung mas mantup,Nyaman saat sore,,positif,
2706,wego,Bapak bapak mampir renang,positif,,
523,alun alun,"alun alun kota lamongan yg asyik, bersik, banyak wahana bermain di dalamnya, dengan komedi putar yg seeu, lampu yg gemerlap, cocok utk tempat bermain anak2. Yg terpenting dekat dengan Masjid Agung Kota utk ibadah",positif,positif,
811,alun alun,"Alun-alun lamongan sedang berbenah dan dipercantik, sehingga masih terlihat kotor dan banyak bongkaran material. Disekitar area alun-alun, banyak warung nasi boran, kuliner khas lamongan. Wajib dicoba kalo sedang disini.",positif,,
1061,goa maharani,"Tempatnya adem, binatang nya jg banyak, bisa berinteraksi langsung pula, gak nyesel deh dateng kesini, sarana edukasi untuk anak2 kita",positif,,
1237,gunung mas mantup,panas perlu pihon besar untuk peneduh,,negatif,
1508,gunung pegat,Indah asri ramah nyaman..,positif,,
316,alun alun,"Untuk hiburan gratis ajak anak dan cucu.
Full mainan dan jajanan merakyat.
Sayang dampak pandemi covid-19 belum pulih.",positif,positif,
1491,gunung pegat,Tempat nongkrong paling enak se Sukoharjo,positif,,
2664,wego,"Yang diunggulkan di tempat ini adalah kolam renangnya. Ini adalah nila plus.
Bagus untuk berlibur untuk keluarga",positif,,
634,alun alun,bagus dan bersih,,positif,
756,alun alun,"Alun alun lamongan semakin baik buat tempat rekereasi. Ada bianglala, tempat olahraga dll dan Dekat dengan masjid agung lamongan serta dekat dengan pujasera kantor pos.",positif,positif,
857,goa maharani,"Tempat yg cocok buat piknik edukasi ..ada hewan2 lengkap pertunjukan burung..taman bermain .toko souvenir toko oleh2 mushola & tempat duduk jg tersedia banyak .
Ada gua maharani yg indah ..",positif,positif,
1584,pantai kutang,"tempatnya asyik buat foto""pemandanganya juga indah
pas banget buat datang bersama keluarga apalagi besama dengan pasangan asyik banget",positif,,
801,alun alun,Alun alun lamongan...berada d tengah2 kota lamongan... Alun alun lamongan identik dengan salah satu wisata kulinernya yaitu nasi boran.... Alun alun lamongan salah satu tempat nongkrong muda mudi....alun alun,positif,,
2651,wego,"Salah satu wisata di kecamatan sugio, yg cocok utk berlibur anak anak...dan org tua.....wisata alam yg asri....silahkan di kunjungi.",positif,positif,
2268,wbl,Cukup menyenangkan.. Petugasnya ramah ramah..,,positif,
1593,pantai kutang,"Tempat melepas kepenatan. Untuk menuju pantai nya harus melewati dermaga yg keren dan asik.
Monggo dicoba..",positif,,
1187,gunung mas mantup,"Sebenarnya pemandangannya bagus, tapi kalau siang terasa panas banget",positif,negatif,
1419,gunung pegat,bagus pemandangannya,positif,,
1520,gunung pegat,Indah pokoknya...,positif,,
1717,pantai lorena,View pemandangan Bagus waktu sore.... Cocok buat rekreasi keluarga dan gratis....,positif,,
393,alun alun,Sebelah barat mohon di kasih penerangan yg baik,,negatif,
2138,wbl,Oke,,,
922,goa maharani,"Tempatnya bagus banget.. Cocok buat anak""",positif,,
2429,wbl,"Ad pantai, kolam renang, hewan2, dan wahana bermain. Komplit sekali ini. Tiket cukup murah asal tanpa wahana ya.",positif,,
2177,wbl,Tempat Lumayan Bagus.. Pas Kesana Agak Sepi Padahal Hari Sabtu ... Pegawai nya ramah2,,positif,
1646,pantai kutang,"Pantai yg indah, ombaknya tenang, cocok untuk menikmati sunset maupun sunrise.",positif,,
2147,wbl,Bagus parkirnnya luas deket dengan pantai kolam renang nya bersih tapi kamar mandi nya agak bersih wahananya seru seru banget apalagi kalo hari libur malahan tambah rame,positif,positif,
2327,wbl,"makanan foodcourtnya enak , murah , rasanya masih aman gakaya tempat wisata lain. pusat oleh2 jg masih manusiawi harganya. tapi sayang pantainya gabisa buat kecek2",,positif,
1137,goa maharani,kereen,,,
1387,gunung pegat,Menarik,positif,,
1451,gunung pegat,Wisata Kuliner diatas gunung dengan pemandangan yang Indah bagus buat teman teman untuk selfie,positif,,
2581,wbl,Pelayanan kurang ramah makanannya ada yg sdh kecut tp masih dijual,,negatif,
2539,wbl,"Berwisata.. bermain.. bersantai..
Touring.. playing.. relaxing..
Nice beach.. just having fun..
You must coming in..",positif,,
2405,wbl,"Murah, dan lengkap semua wahana berfungsi",positif,,
1977,waduk gondang,"Sudah tidak di rekomendasikan, sebab sudah tidak terawat lagi",negatif,,
2860,goa maharani,Kondisi jalan tidak rusakjadi aman,,,positif
2726,wego,Tempat wisata yg bagus dan nyaman,positif,,
1816,pantai lorena,"Nyantai lihat pantai sambil nongkrong, cocok banget buat nambah mood",positif,,
2313,wbl,Bagus dan enak buat liburan keluarga atopun sama teman,positif,,
427,alun alun,"Bagus apalagi kalo bianglalanya muter, gratis naik bianglala.",positif,,
2856,wbl,Jalan yang kami lewati tidak rusak dan terawat dengan baik,,,positif
1144,goa maharani,"Kebun Binatang Kecil tapi cukup bagus untuk menghabiskan waktu bersama anak-anak kita di sana. Memberi makan Jerapah dan Burung adalah kegiatan favorit saya di Kebun Binatang Maharani. Sesuatu yang sulit dilakukan di Kebun Binatang lain di Jawa Timur.
",positif,,
445,alun alun,Taman yang mantap buat anak anak,positif,,
1524,gunung pegat,Lumayan,,,
376,alun alun," lingkungan sekitar bersih, jogging track aman tetapi sedikit licin apabila terkena hujan.",,positif,
2140,wbl,Wahana permainan & pantai,positif,,
821,alun alun,Jangan lupa makan khas lamongan nasi Boran,positif,,
2880,wbl,"Kualitas makanan  tidak memuaskan, tidak enak dan harganya tidak terlalu terjangkau",,negatif,
2,alun alun,"Taman alun-alun yang bagus dan menyenangkan, cocok untuk keluarga. Lokasinya strategis ada di jantung kota Lamongan. Dekat dengan kantor bupati dan masjid raya juga. Akses kemana-mana juga mudah. ",positif,,positif
631,alun alun,area luas dan bersih.,,positif,
248,alun alun,Alun2nya bersih banyak permainan anak2 ditaman,positif,positif,
2434,wbl,"suka dengan wahananya yg lengkap cocok untuk hiburan & edukasi
buat anak2 maupun dewasa",positif,,
646,alun alun,Bersih nyaman,,positif,
1199,gunung mas mantup,"Bagus, banyak spot foto kekinian",positif,,
122,alun alun,Banyak taman dan wahana permainan yang rusak,,negatif,
1943,pantai lorena,Menikmati momen sunset,positif,,
886,goa maharani,Hmm .. area terasa sunyi .. g terdengar Musik .. mungkin hewanya g suka musik kalii .. huuft jd bt ..,negatif,,
2018,waduk gondang,Waduknya luas kyk gajah mungkur,positif,,
2358,wbl,"Tempat wisata yg mirip2 dufan tapi versi lebih kecilnya yaaah, ada banyak bgt wahana dan juga lebih murah dong pastinya ..
Toiletnya juga bersih, banyak yg jual makanan ataupun oleh2 khas Lamongan. Dengan pemandangan lautan jadi nilai plus untuk tempat ini.
Berikut foto yg saya ambil ketika berkunjung disana",positif,positif,
2308,wbl,Banyak permainan menarik yg wajib di coba,positif,,
2723,wego,Masih sepi pengunjung...,,,
1087,goa maharani,Bagus untuk wisata,,,
570,alun alun,ada wahana baru yaitu bianglala,positif,,
2559,wbl,Banyak arena bermain. Untuk anak diatas 85cm dikenakan biaya penuh tapi di dalam wahana sangat sedikit yang bisa dipakai bermain untuk anak2 usia 4 tahun kebawah,negatif,,
1973,waduk gondang,"Sebenarnya bagus kalau di kelola dengan baik, apalagi ditambah kolam renang, wahana permainan anak2, serta ditambah resto dengan view2 selfie yang menarik. Semoga bisa sebagai catatan buat dinas terkait untuk mengembangkan potensi wisata nya.",negatif,,
544,alun alun,kurang dijaga kebersihan nya,,negatif,
2855,wbl,Kami merasa aman dan nyaman saat berkendara karena jalan tidak rusak dan tidak ada lubang atau kerusakan lainnya.,,,positif
2789,wego,Tempatnya enak bagus hanya saja akses jalan raya menuju objek wisata ini perlu di perbaiki,,,negatif
532,alun alun,"Bagus, bersih.. klo parkir mobil bs depan masjid..",,positif,
2357,wbl,"Tempatnya sangat luas dan menyediakan banyak sekali fasilitas², disana juga menyediakan tempat khusus bagi pengguna kursi roda",,positif,
1613,pantai kutang,"Pantainya tersembunyi, harus lewat jembatan kayu cantik.",positif,,
1301,gunung pegat,"Bagus view nya, dari atas kita bisa melihat pemandangan kota dibawahnya, tapi jalan disana cukup menanjak, jadi hati2 ya klo naik kesana",positif,,
174,alun alun,Alun alun lamongan terkesan tertata,,positif,
765,alun alun,"Lokasi sudah lebih baik, tapi kalau malam alun-alun lebih gelap tidak seperti saat pembukaan",,negatif,
1599,pantai kutang,Pantainya bagus cm dibagian parkir masih banyak sampah di sana,positif,negatif,
2026,waduk gondang,Indah,positif,,
2445,wbl,Banyak wahana anak anak  senang,positif,,
1482,gunung pegat,Lumayan bagus buat santai and refreshing,positif,,
2882,gunung mas mantup,tidak ada tempat istirahat yang nyaman,,negatif,
60,alun alun,"Taman bagus, alun-alun nyaman untuk ngemong anak",positif,positif,
2576,wbl,"Wisata menawarkan wahana yg bervariatif, namun tetap tdk meninggalkan kesan edukatif bagi anak""",positif,,
1044,goa maharani,"Tempatnya nyaman ,indah ,dan seru",positif,positif,
2250,wbl,Tempat ini bagus pemandangan ya,positif,,
1942,pantai lorena,Pemandangan yang bagus,positif,,
1974,waduk gondang,"Adem, bisa buat rapat juga pendoponya.",positif,,
2435,wbl,Sangat puas permainanya lengkap,positif,,
635,alun alun,Tempanya bersih dan bebas dari pengamen,,positif,
1424,gunung pegat,"Tempat pas buat buang penat, tiket motor 2k, tiket masuk 2k, cocok klo view malam",positif,,
1770,pantai lorena,"Htm gratis tis cuman bayar parkir 2k lumayan cuman pasirnya dikit banyak karangnya,,,tpi yaa lumayan laa",positif,positif,
942,goa maharani,"Tiket masuk kok mahal banget ya....!???
Apa krn Lebaran?  Naik sampai 3x lipat..",,,negatif
1149,goa maharani,Ok,,,
2667,wego,Sukaa kolam renangnya sampe g mau mentas anakq,positif,,
1230,gunung mas mantup,Lumayan lah buat foto2 viewnya bagus,positif,,
154,alun alun,"Tamannya luas, suasananya juga rindang dan asri, plus deket2 sana banyak banget yg jual makanan, jadinya kalo laper bisa lgsg makan",positif,positif,
1374,gunung pegat,"Baru pertama kali tp liat view nya bagus bgt MasyaAllah kyknya lebih bagus lagi klo kesananya malem, kmrin kesana sepi yg jualan juga krna pandemii",positif,negatif,
828,alun alun,"Keren, Adiwiyata, WBL, Guyub Rukun, Lamongan Megilan, Kota Soto, Kota Boran, Tahu Campur dan masih banyak lainnya.",positif,,
2010,waduk gondang,Ramai dan rindang sekali,positif,,
323,alun alun,"rame, asri, tempat yang pas untuk berkumpul dengan keluarga",positif,,
2162,wbl,Wahana air yg lengkap dan berbagai macam wahana lainya yg membuat perasaan enggan mau keburu pulang,positif,,
1168,gunung mas mantup,Spot wisatanya sudah bagus...cuman akses jalan masuknya yg masih butuh perhatian...masih makadam...dan perlu adanya penunjuk arah jalan masuk,positif,,negatif
714,alun alun,sayang bnyk peralatan permainan juga olahraga yg sdh rusak tp tdk trkondisikan,,negatif,
1427,gunung pegat,fasilitas mcknya kurang,,negatif,
770,alun alun,"Banyak wahana main di taman spt ayunan, perosotan, jungkat-jungkit, peralatan olahraga, air mancur, bianglala, sarang burung, dsb ",positif,,
1158,gunung mas mantup,"Waktu berkunjung kemarin tidak terlalu ramai. Tempatnya  tampak kusam, cat merahnya banyak yang pudar lebih dominan warna hitam.
Semoga dibenahi supaya lebih ramai lagi",negatif,,
1324,gunung pegat,"View nya kerenn sih , , tempat juga luas .. cuma jalan arah sana paraaahhhh",positif,,negatif
2512,wbl,Seru,,,
993,goa maharani,Kolekzi hewan hewannya lengkap. Petugasnya menjaga kandang dg baik. Banyak spot spot foto untuk pengunjung. Saran klu mu kesna sebaiknya hari jumat sabtu atau minggu.,positif,positif,
2689,wego,Silahkan belanja di tempat kami,,,
2245,wbl,Salah satu tempat wisata yang lumayan bagus di desa paciran dan banyak dikunjungi warga sebagai tujuan di hari Jum'at,positif,,
593,alun alun,Bersih & nyaman,,positif,
1088,goa maharani,Baww anak2 kesini lumayan buat edukasi,positif,,
2475,wbl,Tempatnya bagus,,,
648,alun alun,Bersih dan bagus,,positif,
45,alun alun,"tempatnya luas dan nyaman. banyak tempat bermain anak, ada dermulun gratis, juga ada free wifi. disebelah alun2 banyak streetfood yang enak2 pada hari minggu pagi. suasannya ramai dan cocok untuk car free day",positif,positif,
191,alun alun,"Bagus,rapi,bersih,tempatnya nyaman...cocok jg utk tmpat bermain anak-anak a",positif,positif,
93,alun alun,Sudah banyak perubahan dari terakhir kali kesini. Banyak ayunan & tempat bermain lainnya yg uda mulai di cat ulang & diperbaiki.,,positif,
502,alun alun,Tempat orang berolahraga,positif,,
2024,waduk gondang,Sebenarnya bagus kurang perawatan musholla hampir rubuh sholat  jadi was was... Fitri sekargayatri Balongbendo Sidoarjo,,negatif,
2467,wbl,Permainannya Seruu . Banyak Promo Juga,positif,,
1918,pantai lorena,Mantap,,,
2281,wbl,"Kali ketiga kesini antar rekreasi anak sekolah. Fuulll, gak bisa menikmati liburan karena barengan sama rombongan anak sekolah ber bis2. mau mainan juga antriannya panjang buanget.",negatif,,
1595,pantai kutang,Liburan seru bersama keluarga dgn tiket murah dan harga makanan/minuman yg wajar,,positif,
2535,wbl,Menyenangkan,,,
2678,wego,"Main ke wego niat meramaikan wisata lokal.. Konsep udah bagus, tapi sayang tak terawat... Masuk sini situ masih perlu beli tiket di dalam...",positif,negatif,
2465,wbl,Bagus.. banyak wahana bermain,positif,,
1605,pantai kutang,Tempatnya bagus dengan harga tiket cuma Rp 5000.,positif,,
1321,gunung pegat,MasyaaAllah bagus tempatnya.. Akses jg mudah.. Aman buat anak2.. Yg penting kendaraan sehat dan kuat buat nanjak kelokasi..,,,positif
2582,wbl,"Tempatnya baguss..,posisi di pinggir pantae,jadi menambah suasana sangat bagus..",positif,,
333,alun alun,Pokokya coba aja kesini seru kok cuman lampuya kurang terang,,negatif,
1367,gunung pegat,MasyaAllah....subhanallah...maha suci Allah SWT beserta CiptaaNYA.  ....tempatnya pemandangannya bagus...fasilitas dan sarana prasarana perlu diperbaiki...,positif,negatif,
2171,wbl,"Sewa sepeda 3 jam terlalu lama ,jadi bayarnya mahal",negatif,,
285,alun alun,"Luas, bersih, rapi dan RAMAH ANAK .. Luar biasa..",,positif,
1645,pantai kutang,"Melepas penat sejenak mampirnya disini. Sedikit menginspirasi buat lanjutkan novel aku. Yg baca ini ulasan saya mampir yuk buat like dan share ke novel aku di innovel dg judul ""BUKAN AKU PILIHANMU""",,,
2772,wego,Mantab buat keluarga banyak wahana dan outbond...,positif,,
2084,waduk gondang,Keren,,,
198,alun alun,"Tempatnya asik, banyak hiburan, banyak kuliner, semoga bisa terus berkembang",positif,positif,
719,alun alun,"Sdh bagus, perlu perbaikan sarana prasarananya",positif,negatif,
2068,waduk gondang,Bagus,,,
2525,wbl,Makin mantab,,,
1297,gunung pegat,"Tempat nya semakin rame. Ada kolam renangnya, kolam ikan terapi, mainan anak-anak juga tersedia pasar tradisional, cocok untuk berlibur keluarga, camping juga bisa...",positif,positif,
258,alun alun,Setelah 3 tahun akhirnya bisa mudik lagi ke kampung halaman,,,
328,alun alun,Tempat yg nyaman dari anak2 sampai orang tua,,positif,
435,alun alun,Bersih,,positif,
2511,wbl,Mantap,,,
5,alun alun,Lumayan lah kalau sedang singgah sebentar di Lamongan. Sayangnya beberapa hal masih kurang terawat terutama lantai keramik trotoar yang banyak yang pecah serta mungkin agak jarang disapu.,,negatif,
169,alun alun," di taman bermainnya beberapa alat bermain  rusak, mungkin karena terlalu sering dipakai.",,negatif,
1381,gunung pegat,Tempat yg nyaman buat kumpul bareng teman2,,positif,
2260,wbl,"Emezing
Cuma minuman kemasan MiLO 110 ml di dalam kemahalan,7000 k",,negatif,
372,alun alun,sekarang tempatnya makin baguss..,positif,,
1055,goa maharani,Menyenangkan,positif,,
919,goa maharani,Nyaman.. Bersih.. Wisata edukasi yang cocok buat anak-anak dan keluarga..,positif,positif,
2189,wbl,Edukasi aneka satwa binatang dan alam,positif,,
1425,gunung pegat,"salah satu tempat wisata di Sukoharjo yang wajib di kunjungi, pemandangannya mantap",positif,,
1548,gunung pegat,Perjalanan menuju Gunung Pegat semakin mudah dan nyaman,,,positif
204,alun alun,Permainan tdk safety sama skali..perlu baikan,negatif,,
2893,goa maharani,Akses ke objek wisata ini tidak sulit dan kami dengan mudah menemukan lokasinya.,,,positif
362,alun alun,"Arena fun sport spt stand walking byk yg rusak, track utk keseimbangan jg protol kabeh. Beberapa bagian tegel jg sdh pecah.
Lintasan trotoar utk tuna netra kurang dipedulikan, kadang terblok batu trotoar, lampu taman, atau parkiran penggowes.",,negatif,
2296,wbl,Sangat menarik,positif,,
98,alun alun,"Dinas terkait banyak tidurnya.
lampu rusak mainan rusak sdh 7tahun dibiarkan. dan membahayakan anak kecil.
Kebersihan lumayan.",,negatif,
2370,wbl,Banyak wahana menarik. Tiket entrance dan tiket terusan. Beberapa wahana mesti bayar lagi. Wahana dekat pantai cukup menantang.,positif,,
1140,goa maharani,enak,,,
