objek wisata,ulasan,atraksi,amenitas,aksesibilitas
wbl,Cocok untuk berwisata dan berlibur bersama,positif,,
alun alun,kondisi jalan raya perlu diperhatikan,,,negatif
gunung pegat,Mantap pemandangan nya bagus,positif,,
alun alun,Tempatnya bersih dan nyaman,,positif,
alun alun,biasanya kesini pagi buat lari-lari dan paling enak hari minggu karena banyak banget yg jualan juga,positif,positif,
wbl,"Paket lengkap wahana bermain, pantai dan kebun binatang",positif,,
gunung mas mantup,kedepannya ditambah banyak  fasilitas yg lebih baik lagi,positif,,
gunung pegat,Jalan menuju ke gunung ad tanjakan yg mmbuat degdegse,,,negatif
waduk gondang,fasilitas perlu mendapat perhatian lebih......   ,,negatif,
wbl,wisata.e wong lamongan,,,
alun alun,Tidak afdol ketika mudik ke kampung halaman ibu kalo tidak ke alun alun kota lamongan ini. Karena kuliner khas lamaongan nasi boran dan soto lamongan cak har selalu bisa membuat rindu,positif,,
wego,"Sangat bagus sekali tempatnya, mantap",positif,,
wbl,Ada kurang lebih 51 fasilitas untuk paket WBL,,positif,
alun alun,"tempatnya luas dan nyaman. banyak tempat bermain anak, ada dermulun gratis, juga ada free wifi. disebelah alun2 banyak streetfood yang enak2 pada hari minggu pagi. suasannya ramai dan cocok untuk car free day",positif,positif,
waduk gondang,Luar Biasa,,,
goa maharani,Maharani zoo yg sekaran sdh jauh lebih bagus sekali buanyak perkembangannya banyak hewan satwanya jg dn Gua Maharani jg sdh banyak perubahan lebih bagus sekali yg sekarang ini,positif,,
gunung pegat,Tempat sederhana dan pemandangan bagus. Luas dan alami. utk hiburan keluarga,positif,,
pantai lorena,"Tempat tidak terlalu ramai, bagus pemandangannya",positif,,
alun alun,"Tempat luas, enak buat tongkrongan, cocok buat bawa anak kecil karena ada banyak permainan gratis, diseberang  juga banyak beraneka ragam jenis jajanan dan makanan",positif,positif,
alun alun,untuk pertama kalinya main ke Lamongan dan langsung nyobain bianglala Alun-Alun Lamongan seru banget apalagi tiket naiknya masi gratis wkwk.,positif,,
alun alun,Bersih sangat melayani masyarakat dpm beraktifitas di alun alun,,positif,
pantai kutang,Mangrove nya di tanam lagi dong agar lebih rimbun,negatif,,
wbl,Bagus ada banyak wahana yg saya suka raching cars bisa mengendarai mobil mainan,positif,,
alun alun,Sangat menyenangkan dg kota soto lamongan,positif,,
alun alun,"tempatnya sekarang bagus ada bianglala, family friendly",positif,,
goa maharani,Objek wisata di tepi jalur pantura lamongan. Koleksi hewan tidak terlalu banyak tapi hewan terawat dn lokasi zoo bersih dengan bberapa spot foto selfie,positif,positif,
gunung pegat,tadi malam anginnya kenceng.. serasa d puncak merbabu,positif,,
pantai lorena,Sangat cocok untuk berlibur bagi kluarga yang pingin haraga ekonomis,positif,,
wbl,Serrruuuu,,,
pantai lorena,"Keren tempatnya, kuliner murah meriah dgn suasana pantai yg sejuk, jadi tempat langganan dikala suntuk ",positif,positif,
pantai lorena,"Awas...anak2 ..banyak batu cadas nya.
Sekedar buat istrhat sbntr untuk melepas lelah. Ad warung2 juga 
Tp klo malam tutup.",negatif,positif,
wego,"Sayangnya arena lain kurang dikelola dg bersih dan terawat mau sholat dimushola air buat wudhu tdk nyala,,cuma kolam renang saja yg di rawat",,negatif,
gunung pegat,View nya baguss,positif,,
wbl,"Bagus dekat dengan laut,, enak buat liburan keluarga",positif,,
pantai lorena,Tepi jalan.. murah meriah,,positif,positif
gunung pegat,Indah dan melihat sekeliling pemandangan hati jadi sejuk dan  terus berbenah mudah2an bisa menarik banyak wisatawan,positif,,
wego,Sayang nya jalan becek yg di belakng,,,negatif
wbl,"Kolam renang anak2 kurang menarik karena terlalu dangkal, terasa seperti main air saat banjir depan rumah.",negatif,,
alun alun,Alun alun kota Lamongan Jatim .. cocok buat bersantai dengan keluarga anda..,positif,,
alun alun,"Sangat bagus sekali... taman bermain anak lengkap sekali, ada biang lala juga yang megah, ada monumen pesawat juga. Ada pendopo juga, air mancur juga. Recommended banget lah buat mampir",positif,,
alun alun,"Taman kota yg tenang, cocok buat refres saat sore hari.",positif,,
gunung pegat,Murah dan alami,positif,,
alun alun,persis depan alun2 lamongan bisa langsung duduk makan nasi Boran,positif,,
alun alun,"Bersih , tertata, ada mini aviary ,.jalur rapi hati2 jalanan kota agak ramai",positif,positif,negatif
goa maharani," Berbagai hewan jadi koleksi di tempat ini, sangat cocok untuk wisata keluaga, bagus utuk edukasi anak2. Pada jam-jam tertentu ada animal show di sini. Yang berbeda dari kebun binatang pada umumnya di sini ada goa alamnya juga.",positif,,
gunung pegat,Pemandangannya indah dan suasananya asri,positif,,
wego,kumuh mungkin karena hbis ttup lama karena pandemi,,negatif,
pantai kutang,"Dulu kesini waktu masih belum dikelola dan masih menjadi surga tersembunyi, belum ada jembatan dan lainnya dimana jarang ada orang tau kecuali orang sekitar saja. Menjadi tempat yg cocok sekali untuk dipakai merenung dan mencari ketenangan",positif,,
goa maharani,setuju...hewannya.banyak yg kurus..mungkin efek pandemi ya,negatif,,
waduk gondang,Adem rame bagus,,positif,
pantai lorena,Tempatnya bagus. Cocok buat nongkrong. Ada warung-warung di tepi pantainya.,,positif,
pantai kutang,"Pantai nya Bagus, nyaman, dan lumayan bersih..",positif,positif,
goa maharani,Mantaaaaaap,,,
pantai kutang,"Tempatnya bagus,murah weekend 6000 kalau tidak salah. Pasir putih beserta mangrove, ombaknya bersahabat cocok buat anak-anak mandi sambil bermain laut.",positif,,
waduk gondang,Sebenarnya bagus kurang perawatan musholla hampir rubuh sholat  jadi was was... Fitri sekargayatri Balongbendo Sidoarjo,,negatif,
gunung pegat,Cukup menarik untuk dikunjungi selain pemandangan indah kulinernya juga lengkap,positif,positif,
gunung mas mantup,"Tempat yg sejuk dan indah,cocok untuk keluarga bersantai",positif,,
alun alun,"Alun alun lamongan sebagai icon kabupaten Lamongan, tempat wisata keluarga dan juga bisa menjadi wahana tempat permainan anak. Di alun-alun lamongan juga ada sarana untuk kegiatan olahraga.",positif,positif,
pantai kutang,Lumayan buat cuci mata di jembatan warna warni di sepanjang pantainya,positif,,
alun alun, bianglala dan perpustakn tutup. WC juga kurang baik,negatif,negatif,
goa maharani,Puas,,,
wbl,Wahana nya sangat menarik,positif,,
wbl,Parkir nyaman tiket standart,,positif,
wbl,Bagus,,,
alun alun,"Bagus, bersih.. klo parkir mobil bs depan masjid..",,positif,
wbl,Sip,,,
wbl,"Tiket wbl 100 rb (tanpa maharani). Banyak wahana kurang terawat. Hampir semua wahana konsepnya serasa misteri gak sesuai namanya (rumah kaca, bajak laut, istana boneka, antariksa). Masuk museum islami (bayar 20 rb), tetap berasa horror. Apalagi pas sepi tidak ada pengunjung lain dan patung2 dengan pencahayaan kurang membuat makin merinding. Beberapa wahana ditutup dengan alasan rusak dan perbaikan. Istana kucing, kasihan lihat kucingnya. Tampak lesu kurang makan, tidak lucu malah buat iba.",negatif,,
goa maharani,"Tempat terbaik untuk belajar tentang hewan dan menghabiskan liburan bagi mereka yang berada di Lamongan.
",positif,,
alun alun,"Alun2 kota yang jadi pusat berbagai kalangan, duduk2, atau sekedar berfoto-foto, di sini sudah tertata rapi dan bersih.",positif,positif,
alun alun,Bersih klo bisa mainan Yg udh rusak d bagus'i lg,,negatif,
waduk gondang,Waduknya luas kyk gajah mungkur,positif,,
goa maharani,Asyik dan menyenangkan,positif,,
gunung pegat,fasilitasnya mantap,,positif,
gunung mas mantup,Fasilitas lengkap,,positif,
alun alun,"Salah satu tempat yg hampir tiap seminggu sekali kita kunjungi. Tempatnya nyaman buat santai..buat main anak2...apalagi kalo sore menjelang maghrib.

Tpi sayang,kesadaran pengunjung dalam menjaga kebersihannya kurang. Masih banyak yg buang sampah sembarangan.",positif,negatif,
alun alun,Bagus dan bersih.,,positif,
pantai lorena,Wennak,,,
pantai lorena,Hiburan wisata tipis tipis sambil makan rujak cingur pinggir laut. Jangan lupa cicipin dawet siwalan nya,positif,,
pantai lorena,Pemandangan indah diwaktu sore,positif,,
goa maharani,Keren,,,
wego,Fasilitasnya banyak macamnya. Ada 2 musholla juga. ,,positif,
alun alun,"Tamannya luas, suasananya juga rindang dan asri, plus deket2 sana banyak banget yg jual makanan, jadinya kalo laper bisa lgsg makan",positif,positif,
wbl,"Tempatnya luas, permainannya banyak,",positif,,
wbl,Ndak  begitu banyak pengunjung tapi parkirnya bagus toiletnya nyaman,,positif,
pantai kutang,"Bagus buat healing,  datang aja pas weekdays.",positif,,
wbl,Tempatnya bagus banyak warna-warna yang menarik dan pelayanannya juga bagus,positif,,
wego,Playground yg asik,positif,,
wego,Tiket mahal 25k/kepala,negatif,,
wbl,beberapa wahana terlihat kurang terawat dan kurang nyaman di naiki,negatif,,
pantai lorena,Tempat yang baik untuk bersantai,positif,,
wbl,Mantap,,,
waduk gondang,Udara segarr di pagi hari,positif,,
pantai kutang,"Tempat kurang tertata, parkir jg kurang tertata, akses menuju ke pantai dg melewati jembatan diatas laut lumayan bagus dg gazebo utk istirahat sejenak",,negatif,positif
goa maharani,"sangat menarik, banyak hewannya",positif,,
wbl,Degan jelly,,,
goa maharani,Deket dengan WBL (wisata bahari lamongan) mudah di akses..,,,positif
waduk gondang,Tempatnya sejuk,positif,,
wbl,"Tempat bagus, bersih, nyaman, cocok dikunjungi bareng keluarga. Tapi sayangnya ada beberapa wahana yg masih tutup. Disediakan tempat cuci tangan sebelum masuk ke area wisata.",positif,positif,
wbl,"Sewa sepeda 3 jam terlalu lama ,jadi bayarnya mahal",negatif,,
wbl,Seru,,,
gunung mas mantup,"Tempat bagus ,,,bersih,,,",,positif,
wbl,Wisata lengkap. Banyak wahana permainan untuk anak-anak dan dewasa. Memadukan wisata alam pantai laut jawa dan goa alam Goa Maharani yang lengkap dengan kebun binatangnya yang berada dalam satu lokasi. Wisatawan datang dalam satu lokasi sekali parkir kendaraan bisa menikmati berbagai macam jenis wisata. Bagus. Tidak rugi jauh-jauh datang kesini. Perlu waktu sehari untuk menikmati seluruh anjungan lengkap dengan Maharani Zoo.,positif,,
alun alun,"Tempat yg nyaman untuk bersantai bersama anak-anak dan keluarga,banyak arena bermain anak yang gratis, kulinernya banyak dan beragam",positif,positif,
pantai lorena,Bagus,,,
alun alun,tempatnya bersih Dan Banyak tempat bermain anak anak,positif,positif,
wbl,"Perlu ada pembersihan taman taman di sekitar terutama di area wahana kereta di bawah laut.
Dan pengharum ruangan di wahana kuning, bajak laut, bioskop, dinding kaca",,negatif,
waduk gondang,Cocok buat nyantai nyantai bersama  keluarga,positif,,
alun alun,"Tempatnya nyaman buat nongkrong..
Sayang untuk sarana bermain mohon untuk sgra diperbaiki soalnya banyak yg rusak...",,negatif,
goa maharani,"Efek pandemi kali yak, hewannya jafj keliatan agak ga kerawat",negatif,,
alun alun,Sarapan soto daging di pojok alun alun lamongan mantap,positif,,
alun alun,"Ada daya tarik baru bianglala,, untuk saat ini masih gratis,, tempat nyaman dan bersih",positif,positif,
pantai lorena,"Lumayanlah.. Untuk piknik tipis2.kalo air laut surut, karang2 di pinggirannya bagus buat foto2, karna tempatnya pinggir jalan raya, jadi mudah di jangkau. ",positif,,positif
wbl,wahana nya lengkap seru,positif,,
alun alun,Bersih,,positif,
alun alun,Aman dan nyaman untuk bermain anak2,positif,,
alun alun,bersih,,positif,
goa maharani,Goa nya bagus.. satwanya lumayan lengkap,positif,,
wbl,Banyak wahana yg dlm perbaikan. Klo beli karcis terusan jadi agak kecewa yaa..,negatif,,
gunung pegat,"mantap, pemandangan nya bagus rekomended ",positif,,
gunung mas mantup,Masih perlu banyak perbaikan,,negatif,
goa maharani,"Wisata goa yang cukup.indah..
Ada taman satwa juga. Cocok utk liburan keluarga dengan udara yang sejuk",positif,,
waduk gondang,Bagus pemandangan,positif,,
alun alun,mantap,,,
alun alun,Tempat nya bersih cocok buat main anak-anak wkwkwkw,,positif,
wbl,Jual keliling,,,
wbl,"Sedikit kurang terawat, mungkin karena pandemi. Sekarang sudah ramai pengunjung mohon bisa lebih diperhatikan perawatannya",,negatif,
wbl,Alhamdulilah,,,
alun alun,Ada bianglalanya.. Dengan dengan masjid agung...,positif,positif,
wbl,"Destinasi wisata di Lamongan,
Luas bagus lumayan lengkap
Lumayan murah terutama untuk rombongan.
Parkir juga luas
Ada musholla baik didalam maupun diluar lokasi",positif,positif,
alun alun,"Alun alun lamongan semakin baik buat tempat rekereasi. Ada bianglala, tempat olahraga dll dan Dekat dengan masjid agung lamongan serta dekat dengan pujasera kantor pos.",positif,positif,
wego,Luar biasa puanas.,negatif,,
alun alun,"Semakin bagus tempatnya, rapi",,positif,
pantai kutang,"Alhamdulillah bersih tempatnya, dan air pantainya juga lumayan bersih tidak begitu banyak lumpur.",,positif,
pantai lorena,"
paling susah nemu parkiran dan beberapa warungnya lama sekali masaknya",,negatif,
waduk gondang,Keren,,,
pantai lorena,Bebatuan berlumut tempat parkir tidak ada,negatif,negatif,
alun alun,Maianan untuk anak2 bnyak yg rusak,,negatif,
waduk gondang,Disini kita bisa menikmati wisata yg ada di waduk gondang dan diatas tanggul waduk gondang kita bisa joging dan olahraga lainnya,positif,,
wbl,Wisata komplit,positif,,
goa maharani,bagus sekali,,,
wego,"Rimbun, sejuk, adem",positif,,
goa maharani,Thun baruan kesini sdh ckup menyenangkan.....,positif,,
wbl,"Tempatnya bagus, bersih, banyak wahana.. sayangnya untuk anak dibawah 6th tidak banyak wahana yg bisa dimainkan.. untuk harga tiket bervariasi mulai harga 50rb sampai 100.",negatif,positif,
gunung mas mantup,"Tiket masuk 2 orang dewasa 1anak anak 25 ribu,tempatnya bersih,banyak spot fto bagus, sesuai untuk wisata keluarga",positif,positif,
pantai lorena,Mantap,,,
alun alun,Mantep sih.. perpaduan view masjid dengan wahana komedi putar. Lumayan luas juga. Lari  juga cukup recommend disini.,positif,,
wbl,"Alhamdulillah WBL sudah menggeliat lagi dengan pengunjung yang mulai rame,  semoga kondisi ini seterusnya tanpa takut dan ditakut-takuti masalah covid dan vaksin.
Roda ekonomi dah melesat ladi di pantura. Khusus WBL fasilitas dan pelayanan masih amat bagus, bersih dan jauh dari aroma negatif.",,positif,
goa maharani,"Tempat rekreasi yg cocok untuk keluarga, sambil mengenalkan bermacam2 hewan yg ada, sepertinya wahana di gua maharani ada yg baru...tapi kemarin waktu kesana blm dibuka, mungkin saat ini sudah dibuka, tempatnya bersih...semoga orang2 pada sadar untuk membuang sampah pada tempatnya, agar selalu terjaga kebersihannya, tetap jaga prokes, semoga bumi segera sehat",positif,positif,
waduk gondang,Asri tempatnya indah buat spot foto,positif,,
alun alun,playground butuh maintenance,,negatif,
goa maharani,Tempat e enak ademmmm.. satwa nya tolong d tmbah u lagi,positif,,
goa maharani,"Bagus banget untuk rekreasi keluarga, recommended. Koleksi binatang cukup banyak dan tempatnya bersih.",positif,positif,
alun alun,"Tempatnya sangat luas, bersih dan sangat nyaman....
",,positif,
pantai kutang,"Pantainya tersembunyi, harus lewat jembatan kayu cantik.",positif,,
pantai lorena,Tempat nyaman dan santai sambil menikmati angin laut,positif,positif,
alun alun,Sangat indah utuk rekeasi dan bertamasaa,positif,,
pantai kutang,Cocok buat anak-anak dan keluarga.,,,
goa maharani,Tempatnya sangat bagus dan bersih,,positif,
goa maharani,"lingkungannya kurang ramah sama kalangan disable, lansia atau orang yg kurang sehat. Maaf sblmnya ibu saya stroke jdi pergerakannya agak terbatas tapi pengen bgt tau maharani zoo, jadi ya tangga segitu banyaknya beliau ngeluh capek karena mau pake kursi roda juga gak mungkin. Mungkin suatu saat bisa ada peningkatan sarprasnya ya, biar semua kalangan bisa merasakan senengnya dan menikmati liburan di sana. Terimakasihh.. ",,negatif,
alun alun,"Alun-alun nya bagus,bersih,rapih, fasilitas ibadah yang sangat memumpuni",,positif,
goa maharani,"Tempat wisata edukasi untuk anak mengenal satwa, tarif bersahabat,koleksi binatang cukup lengkap",positif,,
wbl,"masih terkesan biasa biasa saja.
perlu tambahan penataan ruang rekreasi, agar lbh menarik bagi pengunjung.
Untuk wisata MAZOLA perlu tambahan tempat duduk bagi pengunjung,  supaya tempat wisata semakin nyaman.",negatif,negatif,
wbl,Bagus wahana dan spot foto,positif,,
goa maharani,Tempat yg bagus cocok untuk edukasi anak satwanya lumayan lengkap,positif,,
pantai lorena,Tiap minggu nongkrong disini di warung pinggir enak buat refressing dari kerjaan,,positif,
alun alun,"bagus, kebersihan di tingkatkan",,negatif,
goa maharani,View nya bagus pas g ujan pula puas nginep 2hri di sini,positif,,
alun alun,Banyak mainan rusak dan tdk layak pakai. Bisa bahaya untuk anak2 kecil.,,negatif,
pantai kutang,Akses jalan menuju ke pantai tolong diperbaiki lagi,,,negatif
wego,Ya begitulah udh 2x kesini,,,
wbl,Banyak arena bermain. Untuk anak diatas 85cm dikenakan biaya penuh tapi di dalam wahana sangat sedikit yang bisa dipakai bermain untuk anak2 usia 4 tahun kebawah,negatif,,
gunung pegat,"tempat menarik, tinggal penataan parkir biar lebih rapi biar pemandangan makin bagus",positif,negatif,
alun alun,"Rapi, bersih",,positif,
alun alun,"Kurang lampu penerangan, mainan anak banyak yg rusak.....mungkin terlalu mahal biaya perawatan",,negatif,
gunung pegat,Keren tempatnya ada kolam renang mini nya ala2 ubud bali,positif,,
waduk gondang,Tiket masuk super murah hanya sekitar 5000 rupiah. Lapangan parkir luas. Lokasi  lumayan dekat sekitar 25 km dari pusat kota lamongan.,,positif,positif
pantai lorena,Suasana  yg sepoi2..  makan sambil liat laut... low butget pula,positif,,
wbl,Luar biasa,,,
wbl,Senang sekali,,,
wbl,Di resort Cafe nya bagus banget,,positif,
wbl,"Saya dan keluarga saya berkunjung pada hari Sabtu kebetulan tempatnya tidak terlalu ramai, disini banyak sekali area untuk berfoto, disini juga ada kebun bintang, kolam renang, area bermain laut,dll .. sangat cocok untuk berlibur menghabiskan waktu bersama keluarga",positif,,
alun alun,Keren alun alun kota lamongan tapi kebersihan nya kurang bersih.  Dan beberapa wahana ada yang agak rusak,,negatif,
goa maharani,Pernah kesana jujur pelayanan bagus dan tempatnya luas dan lega banget salah satu tempat paling berkesan selama liburan ke pulau jawa,positif,positif,
alun alun,Tempatnya bersih,,positif,
alun alun,Bru prtma kli main ksini.....yg pling kusaka ada swafoto psawat trbng.....dn biang lala,positif,,
goa maharani,Seru sekali....... Bisa berinteraksi langsung dengan hewan,positif,,
gunung pegat,Bagus buat sunrise an,positif,,
wbl,Banyak sekali permainan untuk anak,positif,,
wbl,"Kali ini setelah skian lama sy baru berkunjung lagi ke Tanjung kodok, wisata bahari lamongan yg dikenal wisata pinggir pantai terdapat batu yg berbentuk mirip sprti katak dan didalamnya terdapat wahana permainan dll, parkiran yg sangat dan bersih",positif,positif,
wego,"Jauh dari keramaian, tempatnya kurang terawat. Tiket masuk 25rb.",,negatif,negatif
wbl,Lokasi wisata ini terletak di jalan utama surabaya - tuban. Tempat ini mudah dikenali karena ada ornamen patung kepiting raksasa yang ada di pintu masuk,,,positif
wbl,tolong petunjuk jalan nya perbanyak lagi,,,negatif
goa maharani,OKE,,,
wbl,Bagus,,,
wbl,bagus banget,,,
alun alun,bagus dan bersih,,positif,
waduk gondang,"Buat di perjalanan nih yaaa. Klo bisa jgn ngelakuin perjalanan di daerah ini di atas jam set 5, Krn penerangan jalan msh blm ada. Jalanannya jg g lebar (alias sempit cuy)
Banyak jg kendaraan besar yg lewat daerah ini, jd lumayan bahaya sih. Apalg klo buat motor, klo mobil pastiin yg nyetir jago segala medan yaaa. Tetep safety, karena indonesia masih punya banyak tempat menarik buat di kunjungi.",,,negatif
goa maharani,"Nyaman bersih ramah,, dan harga tiket yg terjangkau ",,positif,positif
wbl,"Seru gayss,,, saya baru pertama kali main ke sini. Jauh"" dari Tanggerang Selatan.",positif,,
goa maharani,"Wisata edukasi yang cocok untuk anak"", bersih nyaman, petugas n pemandu jg ramah. Banyak  promosi untuk di bulan agustus. Banyaknya pengunjung jg terkendali sehingga aman pada masa pandemi seperti saat ini.",positif,positif,
wbl,Bagus,,,
pantai lorena,Tempat yang bagus untuk liburan keluarga . Tersedia Juga beragam menu makanan.,,positif,
goa maharani,Panas.... AC nya di matikan,,negatif,
goa maharani,"Tempat buat anak"" bermain melihat hewan",positif,,
goa maharani,Bagus,,,
alun alun,Tempat Kumpul Keluarga Yang Nyaman Dan Menyenangkan,positif,,
alun alun,Luas dan sejuk,,positif,
alun alun,Tertib dan bersih,,positif,
alun alun,Alun alun yg luas setelah direnovasi terdapat bianglala besar seperti di kota batu malang. Kalau malam rame banget apalagi malam minggu. Banyak pedagang yg jualan di sisi barat alun alun.,positif,positif,
goa maharani,"Asyik dan senang belajar sambil bermain
",positif,,
alun alun,Lokasinya Bersih,,positif,
alun alun,Lumayan. Beberapa tempat bermain sudah perlu diperbaiki sepertinya. Semoga ke depannya lebih baik,,positif,
gunung pegat,"Ke depan, perlu ditambahkan atau diperbaharui spot2 fotonya serta diperbanyak petunjuk arah menuju lokasi site dari jalan utama.",negatif,,negatif
wbl,"Bagus sekali,,rekomendasi untuk berwisata keluarga,gathering,anak-anak sekolah maupun yang lainnya...tempatnya juga terjaga bersih,,",positif,positif,
pantai kutang,"Penataan ruang yang bagus, membuat pengunjung kerasan n betah berlama lama di lokasi,

Jembatan di kasih atap sepertinya lebih menarik",positif,,
gunung mas mantup,Alhamdulillah sip,,,
gunung pegat,Pemandangan nya sangat bagus dan bisa untuk memanjakan mata,positif,,
gunung mas mantup,Oke,,,
pantai lorena,"Nyaman,dan indah di sore hari",positif,,
alun alun,Semakin hari semakinn bagus alun alun nya,positif,,
goa maharani,Tempanya pas untuk weekend bersama keluarga,positif,,
alun alun,"Ramah, bersih, murah merakyat parkir memadai makanan enak dan murah.",,positif,
alun alun,"Bagus, cocok buat santai.. banyak jajanan juga",positif,positif,
alun alun,Pokokya coba aja kesini seru kok cuman lampuya kurang terang,,negatif,
gunung pegat,Tempat yang cukup tinggi di hiasi panorama pemandangan sawah yang luas,positif,,
alun alun,"Recomended banget lah, buat mampir untuk istirahat setelah bepergian sekitaran daerah pantura
Deket dengan masjid Agung LA dan tempat"" ada di tengah"" Kabupaten Lamongan",,positif,positif
alun alun,Bagus bersih,,positif,
pantai lorena,"Sejuk, dekat dengan jalan raya",positif,,positif
wego,Ruang ganti kurang nyaman,,negatif,
wego,Lokasi wisata alam murah meriah,positif,,
pantai kutang,"Pantai Kutang Lamongan

View bagus
Ada jembatan bisa buat foto2
Lokasi bisa untuk prewed",positif,,
gunung pegat,Pemandangan bagus.,positif,,
wbl,Baik,,,
pantai kutang,Tempat wisata murah... sayangnya kebersihan lingkungan kurang terjaga,,negatif,
waduk gondang,Banyak fasilitas yang rusak,,negatif,
goa maharani,Wisata dengan edukasi buat anak².,positif,,
gunung pegat,"Jalan menuju kesini tdk bgtu extrim, naik nya cor blok halus...monggo silahkan mampir kalau lewat area jln trabasan klaten - wonogiri",,,positif
pantai lorena,"Wisata hemat, ada warung rujak dan lainnya",,positif,
alun alun,"alun alun kota yg bersih, untuk kuliner Nasi Boranan yg khas lamongan, rasanya cukup nikmat",positif,positif,
pantai kutang,Bagus khususnya anak kecil batita balita aman dari ombak,,positif,
waduk gondang,Sejuuuuk bangettt,positif,,
wego,Bapak bapak mampir renang,positif,,
pantai kutang,Perjalanan menuju pantai ini lumayan jauh tetapi akses jalannya sudah cukup baik.,,,positif
wbl,kerenn sekali,,,
pantai kutang,Baguus bangeet sih pantainya. Banyak tempat buat foto-foto juga. Instagrammable bangetlah pokoknya.,positif,,
wbl,"Walau sudah lebih dari 10 thn, rumah sakit hantu masih favorit serunya.",positif,,
pantai lorena,iya,,,
alun alun,"Tempat asyik buat main waktu malam,hangout sama keluarga",positif,,
gunung pegat,Menarik,positif,,
alun alun,Salah satu alun-alun terbaik dan ternyaman di Indonesia,positif,,
alun alun,"Fasilitasnya bagus. Tapi makin kesini kok banyak yg tidak terawat seperti lampu taman yg mati, dan keran air cuci tangan tidak menyala",,negatif,
gunung pegat,"Tempat estetik, pemandangan bagus, sayang di puncak tidak ada cafe",positif,negatif,
pantai lorena,"Tempat wisata pantai alternatif jika anda berada di Paciran, lokasinya yang tidak jauh dari WBL.
Meskipun hanya menyajikan pesona wisata laut yang berkarang, namun banyak pengunjung yang tak hanya rekreasi, tapi juga melepas lelah, karena disini juga ada stand kuliner khas Paciran.

Parkir pun tersedia luas, letaknya yang berada di tepi jalan raya, sehingga memudahkan akses menuju  lokasi ini.

Kalau lewat, jangan dilewati, tapi mampirlah sebentar untuk menyejukkan mata dan menikmati semilir angin laut",positif,positif,positif
alun alun,Sejuk,positif,,
alun alun,Bagus untuk jalan 2,positif,,
gunung pegat,"Asyik, wisata di pegunungan, udaranya segar, anak anak juga suka",positif,,
wbl,Bagus,,,
gunung mas mantup,Oke,,,
alun alun,"Terdapat permainan, cocok untuk anak-anak, terdapat tempat yang sejuk, lapangan basket dan lain-lain.",positif,,
waduk gondang,"Suasana nyaman, dan mainan wahana anak cukup banyak, namun beberapa ada yang rusak dibiarkan saja tidak dioerbaiki..
Mungkin kedepannya perawatannya bisa lebih diperhatikan agar pengunjung lebih senang..",,negatif,
goa maharani,Bagus,,,
