objek wisata,ulasan, atraksi,amenitas,aksesibilitas
wego,"Tempatnya bagus, bersih, dan nyaman. Pengunjungnya masih sedikit, mungkin baru saja buka.. Untuk HTM juga lumayan murah.",positif,,
wego,Tempat rekreasi yang cocok buat anak anak . Bayar parkir 10ribu ongkos masuk 25ribu. Biasa aja sih tp lumayan lah buat ngisi waktu liburan . Ada pesawat siapa tau mau foto lgsg buat jadi pilot2an hehe. Tp buat anak2. Jasa fotonya bayar 20rb,positif,,
wego,"Tempat WEGO yg terletak di pinggir jalan rayapun tidak susah untuk mencarinya. Kalau di Lamongan jangan lupa untuk mengunjungi WEGo guys.
Salam asik travelling",,,positif
wego,"Tempatnya bagus,
Tapi wahana permainannya kurang bnyak,
Permainannya jga bnyak yg rusak juga...",negatif,,
wego,Cocok buat momong bocah tiket masuk 25 dan parkir mobil 10.000 makanan murah2 jd nggak harus khawatir,positif,positif,
wego,Baek bagus,,,
wego,Tidak terawat. Toilet kotor sekali. Banyak sampah. Banyak nyamuk. Tidak ada yg jual makanan kecuali di parkiran. Banyak fasilitas yg rusak,negatif,negatif,
wego,Monggo Liburan di WeGo banyak discon dan dapat sovenir emok WeGo Cantik,positif,,
wego,Tempatnya bagus,positif,,
wego,"Wisata Wego Lamongan merupakan pesona wisata keluarga. Memperkenalkan transportasi pesawat terbang, wahana, dll",positif,,
wego,Lumayan buat wisata keluarga,positif,,
wego,Masih sepi pengunjung...,,,
wego,"Cocok untuk quality time sama keluarga tiketnya murah, bisa berenang sepuasnya",positif,,
wego,Ruang ganti kurang nyaman,,negatif,
wego,Tempat wisata yg bagus dan nyaman,positif,,
wego,Luar biasa puanas.,negatif,,
wego,Tempat yang nyaman untuk berlibur,,positif,
wego,Panaaaaassss sumukkk,negatif,,
wego,Lokasi wisata alam murah meriah,positif,,
wego,Tempat wisata yg hrs km tau wego LA,,,
wego,Wisata edukasi cocok untuk keluarga,positif,,
wego,Karna sepi jadi kurang terurus,,negatif,
wego,"Tempat rekreasi & edukasi yg bagus. Terdapat kolam renang juga ,",positif,,
wego,Tempatnya enak,,,
wego,Beraneka mainan dan tempatnya asri di kelilingi pepohonan sejuk alamnya,positif,,
wego,"Lumayan, tapi harganya cukup membuat kantong bolong. Padahal wahananya ya biasa aja tapi kok harganya mahal. Heran saya,kalau disuruh mengunjungi ini lagi mungkin saya akan menolak",negatif,,
wego,"Tempat edukasi untuk anak anak, kunjungi cenel YT Rodex Pro",positif,,
wego,Ya begitulah udh 2x kesini,,,
wego,"Sangat bagus sekali tempatnya, mantap",positif,,
wego,Tampat yang bagus dan sejuk untuk wisata dan menenangkan diri sejenak...,positif,,
wego,"tempat wisata di tengah hutan, mantap lah",positif,,
wego,Zona kulinernya kurang banyak pilihan,,negatif,
wego,Asyiq,,,
wego,Murah meriah parkitan luas,,positif,
wego,Parkir yang luas dan memiliki banyak wahana permainan dengan pesawat yg bisa dinaiki. Terdapat perahu dan ada kolam renang serta wahana lainnya,positif,positif,
wego,Tempat wisata yang sangat cocok sebagai alternatif liburan bersama keluarga,positif,,
wego,"Tempatnya luas, cocok buat rekreasi bersama keluarga besar, ada permainan anak2, kolam renang, tempat kemah juga ada",positif,,
wego,Lumayan buat isi liburan di saat pandemi,positif,,
wego,.Lokasinya dekat dengan waduk Gondang Lamongan. Banyak gazebo sehingga cocok untuk kumpul keluarga dan melepas Penat. Cuma kalau lagi panas disini panas sekali hawanya.,positif,positif,positif
wego,Tempat ini cukup menarik untuk wisata keluarga .,positif,,
wego,Tempatnya bagus,positif,,
wego,Tempatnya asik buat nongkrong.. tapi agak panas ketika musim kemarau..,positif,negatif,
wego,Murah bnyak spot foto,positif,,
wego,Sangat mengesankan unruk keluarga,positif,,
wego,Nyaman,,,
wego,Keren.,,,
wego,tempat rekreasi keluarga di tengah kampoeng. tempatnya tropikal banget. ada bangkai pesawat yg disulap jadi pesawat yg kaya masih layak terbang.,positif,,
wego,"Bagus, tapi relatif mahal untuk daerah sini",,negatif,
wego,Lumanyan dan tiket murah,positif,,
wego,Belum ada wahana baru,negatif,,
wego,Kolam renang banyak dan bervariasi.. kamar mandi juga banyak.. tapi airnya seperti nya kurang bersih..,positif,negatif,
wego,Asri dan sejuk,positif,,
wego,Masa pandemi agak sepi,,,
wego,Lumayan,,,
wego,"Owner nya harus kreatif,... Wahana msh monoton...",negatif,,
wego,Kreatif,,,
wego,Tempat wisata yang ada pesawatnya di lamongan,positif,,
wego,...mohon di perbaiki lagi,,,
wego,"Asri banget, mumpung promo 20rb",positif,,
wego,Tempatnya enak luas permainan kolam renang luas,positif,,
wego,Mantab buat keluarga banyak wahana dan outbond...,positif,,
wego,Cocok utk wisata anak2... Berwisata sambil belajar...,positif,,
wego,Tempat wisata yang baik. Walau jauh dari kota Lamongan. Rekomendasi jika ingin wisata alam,positif,,negatif
wego,Tempat wisata yang asyiiikkkk..,positif,,
wego,"Sangat cocok untuk keluarga
Khususnya anak"", banyak juga pengetahuan"" Yang di dapat di wego",positif,,
wbl,Agak kurang terawat,negatif,,
wbl,Tempatnya bagus banyak warna-warna yang menarik dan pelayanannya juga bagus,positif,,
wbl,Banyak sekali wahana permainan anak2 dan edukasi kolamnya jg bersih petugas jaganya jg ramah2,positif,positif,
wbl,Bagus,,,
wbl,Berbagai macam wahana ada di wisata bahari lamongan yang harus anda coba. Seru bett,positif,,
wbl,Kotor.. Di wahana kucing pengab.. Di kandang kerbau dan onta.. Baunya..... Kenapa g dibersihkan.. Padahal banyak petugas nganggur,,negatif,
wbl,Tempat yg menyenangkan untuk piknik,positif,,
wbl,"Oke sih...cm agak di cat ulang tiap wahananya biar lebih menarik lg,lebih bersih ,gak berlumut,dam pohonnya lebih hijau ,,gak gersang",negatif,,
wbl,Senang sekali,,,
wbl,Semua wahana lengkap di WBL,positif,,
wbl,pelayananya ramah oke bagus,,positif,
wbl,Bagus,,,
wbl,"sangat bagus dengan wahana permainan yang sangat menantang adrenalin.tempat parkir luas,toilet&mushola bagus.",positif,positif,
wbl,Kok semakin jorok tempatnya sekarang? Di tempat hewan onta dan kerbau (sejenisnya) kotorannya menumpuk dan baunya menyengat.. Dan beberapa tempat hewan lainnya juga bau.. Kasian hewan hewannya.. Mohon segera bisa di adakan pembersihan.. Biar hewannya nyaman.. Pengunjung juga nyaman,,negatif,
wbl,Tempat yang luas dan banyak aneka wahana permainan,positif,,
wbl,Mantap,,,
wbl,Oke,,,
wbl,"Tempatnya sangat luas,,Parkirannya juga luas...Wahananya juga banyak dan bagus,,gak kalah sama wahana2 di tempat lain,,Ada beberapa jenis binatang seperti di jatim park Secret zoo malang...Tp di sni,,kita bisa lihat dan santai sambil mnikmati suasana pantai tanjung kodok...",positif,positif,
wbl,Wahana permainan & pantai,positif,,
wbl,Wahana Bahari Lumayan untuk tempat Rekreasi keluarga,positif,,
wbl,"WBL INI SERU SEKALII, tempatnya bagus, sejuk, nyaman, dan bersih. Cocok buat ide pose foto, dan disini saya punya kenangan yang indah",positif,positif,
wbl,Bagus,,,
wbl,"tempatnya bagus bersih rapi, banyak wahana, banyak kulinernya, banyak spot foto keren",positif,positif,
wbl,"Saya dan keluarga saya berkunjung pada hari Sabtu kebetulan tempatnya tidak terlalu ramai, disini banyak sekali area untuk berfoto, disini juga ada kebun bintang, kolam renang, area bermain laut,dll .. sangat cocok untuk berlibur menghabiskan waktu bersama keluarga",positif,,
wbl,Wahanya semakin banyak yang baru. Good,positif,,
wbl,Bagus parkirnnya luas deket dengan pantai kolam renang nya bersih tapi kamar mandi nya agak bersih wahananya seru seru banget apalagi kalo hari libur malahan tambah rame,positif,positif,
wbl,Bagus luas banyak wahananya namun saat ini sepi pengunjungnya,positif,,
wbl,bagus,,,
wbl,Lokasi wisata ini terletak di jalan utama surabaya - tuban. Tempat ini mudah dikenali karena ada ornamen patung kepiting raksasa yang ada di pintu masuk,,,positif
wbl,Lokasinya jelas sangat indah... wahananya banyak.. cocok untuk semua umur deh...,positif,,
wbl,Woow keren,,,
wbl,"Bagus lokasi pantai dan menaranya, tempat hewannya menarik meski banyakan hewan luar Indonesia",positif,,
wbl,"parkir enak ad bbrp pohon dan juga luas, toilet gratis dan bersih,",,positif,
wbl,Tempat yang menarik wisatawan untuk berkunjung disini,positif,,
wbl,Wisata hiburan keluarga dan edukasi pendidikan buat anak² sekolah jg bisa lengkap permainan,positif,,
wbl,"Panas, gerah, tak sesuai harapan",,negatif,
wbl,Tetap ramai dan masih terjangkau,positif,,
wbl,"Pelayanan baik, disetiap tempat ada kursi untuk duduk ",,positif,
wbl,Wahana air yg lengkap dan berbagai macam wahana lainya yg membuat perasaan enggan mau keburu pulang,positif,,
wbl,"Saya rasa karena akses dari Surabaya yang cukup jauh ketika keluar dari pintu tol menuju WBL, menyebabkan pengunjung dari Surabaya dan sekitarnya ga banyak, orang lebih suka ke malang, Trawas dan sekitarnya yang lebih mudah akses nya.",,,negatif
wbl,Tempat wahana rekreasi di pantai utara lamongan yang menyediakan banyak pilihan wahana permainan,positif,,
wbl,"tempat berlibur yang cocok untuk anak anak, kaula muda dan keluarga. banyak wahana yg dapat dicoba dari yg kids friendly sampai wahana ekstrim
ada watersport juga karena dekat dengan laut, seru",positif,,
wbl,"Tempatnya luas, permainannya banyak,",positif,,
wbl,"Seperti jatimpark 1 banyak wahana , bedanya cuman ada lautnya, tapi bagus bgt kok",positif,,
wbl,"Sekarang udh bagus dri sebelumnya ,, walaupun msh ada wahana yang maintenance",positif,,
wbl,Mantap,,,
wbl,"Taman hiburan pantai yang sangat terjangkau.... Banyak mesin hiburan yang menarik... Bersih dan rapi... Pilihan yang layak untuk ""menyembuhkan"" MBS Anda..",positif,,
wbl,"Sewa sepeda 3 jam terlalu lama ,jadi bayarnya mahal",negatif,,
wbl,"Wahananya lengkap, banyak pilihannya. sesuai keinginan. Tiket masuk 55 rb. Tiket terusan 135 rb.",positif,,
wbl,Lengkap wahananya.,positif,,
wbl,Cocok untuk wisata lokal mengisi liburan.....ramai dan parkir cukup luas,positif,positif,
wbl,"Parkir luas. tempat bersih nyaman, wahana aman buat anak dan dewasa",,positif,
wbl,Lumayan banyak wahananya..tapi panas karena di tepi pantai..,positif,negatif,
wbl,Tempat Lumayan Bagus.. Pas Kesana Agak Sepi Padahal Hari Sabtu ... Pegawai nya ramah2,,positif,
wbl,"Baru pertama kli datang ke sini permainan lumayan banyak apa lg bawa anak2 seru banget,",positif,,
wbl,Baik,,,
wbl,"Wahananya seru"" banget kayak di ancol.",positif,,
wbl,tempatnya bersih,,positif,
wbl,"Tidak begitu ramai, beberapa wahana kurang terawat",negatif,,
wbl,"Bagus dekat dengan laut,, enak buat liburan keluarga",positif,,
wbl,parkiran luas...waterpark nya juga aman bagi anak2...dan banyak wahana lainnya..,,positif,
wbl,Bagus tempatnya banyak wahananya tp buat anak kecil agak susah dan cuma bisa beberapa tempat wahana buat bocil. Jd buat anak kecil mungkin pesen tiketnya yg entrance aja kali ya. Sayang bgt ga kepake tiket wbl nya kepake cuma beberapa x aja,negatif,,
wbl,Sarana wisata komplit wahana permainan jg zoo,positif,,
wbl,Seru banget permainan di dalamnya,positif,,
wbl,"Perlu Peningkatan Fasilitas Pendingin di tiap wahana.
SEGERA PERBAIKI, permainan2 yg sedang rusak agar pengunjung tidak merasa dirugikan dengan banyaknya permainan yg tidak berfungsi, terutama di Wahana Terakhir WBL",negatif,negatif,
wbl,Edukasi aneka satwa binatang dan alam,positif,,
wbl,"cukup menyenangkan bisa berkunjung ke wbl, terdapat banyak sekali wahana yang bisa dicoba. mulai dari wahana yang menyenangkan seperti rumah kucing, rollercoaster, kolam renang, rumah hantu dan masih banyak lagi. karena wbl ini sendiri lokasinya dekat dengan laut, jadi kita juga bisa menikmati hamparan laut yang luas.",positif,,
wbl,Sangat tidak rekomended. pelayanan sangat kurang. Wahana berbayar terus. padahal sudah tiekt terusan.,negatif,negatif,
wbl,beberapa wahana terlihat kurang terawat dan kurang nyaman di naiki,negatif,,
wbl,"Kesini memang udah niat nggak pengen naik wahana², jadi tertolong banget dengan adanya tiket entrance saja yg murah meriah. tempat lumayan luas, masuk jam setengah 9, jam 2 keluar. Yah karena nggak naik wahana² jadi cepet.Toilet ada banyak ga repot kalau nyari toilet. Pusat oleh² yg di pasar hidangan B murah².Ada pasir putih dengan gazebo yg bikin tambah bagus.",,positif,
wbl,Untuk makanan yg kurang mantap,,negatif,
wbl,Super menyenangkan. Bahagia banget. Alhamdulillah. Bakalan kangen sama wahana2nya.,positif,,
wbl,sangat bagus lokasinya dipinggir laut,positif,,
wbl,Tempat yang sangat recommended bgt,positif,,
wbl,"Tiket wbl 100 rb (tanpa maharani). Banyak wahana kurang terawat. Hampir semua wahana konsepnya serasa misteri gak sesuai namanya (rumah kaca, bajak laut, istana boneka, antariksa). Masuk museum islami (bayar 20 rb), tetap berasa horror. Apalagi pas sepi tidak ada pengunjung lain dan patung2 dengan pencahayaan kurang membuat makin merinding. Beberapa wahana ditutup dengan alasan rusak dan perbaikan. Istana kucing, kasihan lihat kucingnya. Tampak lesu kurang makan, tidak lucu malah buat iba.",negatif,,
wbl,Memuaskan wahananya,positif,,
wbl,"Di musim liburan  pengunjung mulai  naik dan banyak,  Wahana wisata tetap layak dikunjungi, lengkap wisata permainan, keindahan laut dan kulinernya luar biasa.
Parkir luas, poros jalan lebar, nyaman untuk rekreasi keluarga dan warga",positif,positif,positif
wbl,Asyik gak cukup kl cuma sehari.wisata sekaligus edukasi di sejarah islam cukup htm 125 k untuk perorang semua wahana.tau gak siiih wahana bikin dag dig dug apalagi di rumah hantu swereeeem,positif,,
wbl,Tempat yg penuh dengan wahana dengan Tiket terusan kita bisa menikmati semua wahana yg ada dan menikmat waktu liburan bersama keluarga tentunya.,positif,,
wbl,"Wahana banyak, dari pagi main sampai sore puas rasanya disini",positif,,
wbl,tolong dong dibikin rute satu arah atau gimana kek. Biar nggak muter² balik lagi kesana sini karena ada yg terlewat.,,,negatif
wbl,Saat kesana arena bermain bersama kucing sedang tutup. Nggak ada petugasnya dan nggak ada kucingnya. ,,negatif,
wbl,Bnyak permainan wahana,positif,,
wbl,"Tempat bersih dan nyaman, beberapa wahana sedang dalam perbaikan tapi sangat respek karena hal tersebut menunjukkan pihak pengelola WBL peduli pada keselamatan pengunjung",positif,positif,
wbl,Di bagian beberapa kandang hewan terlihat kurang terjaga kebersihan dan beberapa hewan kurang terawat serta sarana dan prasarana penunjang kurang diperhatikan,,negatif,
wbl,Saat liburan sekolah dulu aku kerumah tanteku dan seklaian liburan ke wisata bahari lamongan disana banyak tempat tempat bagus untuk foto dan eahana wahana yangvmenarik. Saat itu paling seru masuk ke wahana rumah hantu,positif,,
wbl,"gua insect nya ngeri karena nggak ada petugas yg jaga dan pas aku masuk nggak ada pengunjung satupun mana guanya ternyata lebih panjang dari maharani. Tolong dikasih petugas jaga ya, dan tolong itu patung buaya horor banget ditaruh situ",,negatif,
wbl,"salah satu taman hiburan di Kabupaten Lamongan! ada banyak wahana yang bisa dimainkan, harga tiketnya worth it banget!",positif,,
wbl,"Suka dengan wahaya yang ada di WBL, anak2 juga pada suka...",positif,,
wbl,Wisata Bahari Lamongan yang sangat bagus cocok di kunjungi oleh semua kalangan dengan harga yang wort it di kantong disajikan banyak wahana dan tempat makan yang banyak dan juga disajikan view langsung ke pantai,positif,,
wbl,"Alhamdulillah WBL sudah menggeliat lagi dengan pengunjung yang mulai rame,  semoga kondisi ini seterusnya tanpa takut dan ditakut-takuti masalah covid dan vaksin.
Roda ekonomi dah melesat ladi di pantura. Khusus WBL fasilitas dan pelayanan masih amat bagus, bersih dan jauh dari aroma negatif.",,positif,
wbl,Bagus. Fasilitas bertambah. Toilet bersih dan wangi,,positif,
wbl,Ada kurang lebih 51 fasilitas untuk paket WBL,,positif,
wbl,"Asik banget, selain pemandangan pantai yang tergolong cantik, juga terdapat banyak wahana permainan, dan juga aneka jenis kuliner",positif,positif,
wbl,Mantap,,,
wbl,Wahana bagus Bersih. ,,positif,
wbl,"WBL dekat dengan wilayah Bojonegoro, dan mudah dijangkau, serta wahana yang banyak membuat anak-anak sangat terhibur dan menyenangkan.",positif,,positif
wbl,Bagus dan baik,,,
wbl,Luar biasa,,,
wbl,Tempat yg indah dan nyaman,positif,positif,
wbl,wisata.e wong lamongan,,,
wbl,"Pertama kali ke sini bersama keluarga,, anak² sangat antusias untuk menikmati setiap wahana yg tersedia. Dan yg tak kalah penting adalah toilet dan foodcourt lumayan banyak, sehingga kita ga binggung untuk mencari kedua tempat tersebut.",positif,positif,
wbl,Sip,,,
wbl,Bagus,,,
wbl,"Seru, tpi jarak nya jauh dari rumahku butuh 5 jam perjalanan naik tayo",,,negatif
wbl,Parkir nyaman tiket standart,,positif,
wbl,Luar biasa dan di tambah kan lagi kalo ada kereta hantunya lebih serem,positif,,
wbl,Banyak permainanya dan cocok untuk anak2 dan dewasa,positif,,
wbl,Luar biasa,,,
wbl,Tempat yang tepat untuk membahagiakan keluarga anda...,positif,,
wbl,Wisata dekat dengan rumah saya,,,positif
wbl,Saya sangat suka mengujungi wisata bahari lamongan Karena banyak permainan yang sangat mengedukasi,positif,,
wbl,Tempat nya bagus sekali,,,
wbl,Selalu ramai,,,
wbl,Bagus dan harga tiket masuk menyesuaikan,positif,,
wbl,Sangat rekomended,,,
wbl,Siipp,,,
wbl,Worth it bgt lah tiket harga segitu.. Seharian g bkalan cukup njelajah semua.,positif,,
wbl,"Merupakan tempat wisata yang cukup bagus di wilayah pesisir lamongan, di dalamnya banyak sekali wahana seperti crazy car coaster tagada, wahana bawah laut, jet coaster, rumah sakit hantu, rumah kucing, tapi ketika kita masuk ada beberapa yang harus berbayar seperti gokart, kano atau yang lain, cocok untuk liburan bersama keluarga atau sang kekasih untuk seru seruan bersama",positif,,
wbl,"Baik, indah",positif,,
wbl,Tempat bagus untuk wisata keluarga..,positif,,
wbl,Salah satu tempat wisata yang lumayan bagus di desa paciran dan banyak dikunjungi warga sebagai tujuan di hari Jum'at,positif,,
wbl,"Kali ini setelah skian lama sy baru berkunjung lagi ke Tanjung kodok, wisata bahari lamongan yg dikenal wisata pinggir pantai terdapat batu yg berbentuk mirip sprti katak dan didalamnya terdapat wahana permainan dll, parkiran yg sangat dan bersih",positif,positif,
wbl,"Parkirannya sangat luas dan bersih tapi di dalam agak sedikit kotor,mungkin kemarin pas hujan apalagi kamar mandi dekat kolam anak.Karena sandal tidak di lepas maka lantai menjadi sangat kotor,dan pintu kamar mandinya pakai kain.",,negatif,
wbl,Bagus wahana dan spot foto,positif,,
wbl,"Cocok untuk yang mau refreshing,healing,pacaran,atau sekedar mencari hiburan.",positif,,
wbl,Tempat ini bagus pemandangan ya,positif,,
wbl,Tempat lokasi yg mudah terjangkau akses dari mana juga muda didapat. Wbl tempat yg cocok untuk berlibur dgn keluarga segala macam jenis mainan ada juga fasilitas penunjang lainnya,positif,positif,positif
wbl,Ada beberapa wahananya yg tidak berfungs,negatif,,
wbl,Wbl tempat paling asik untuk dikunjungi bersama keluarga,positif,,
wbl,Wisata lengkap. Banyak wahana permainan untuk anak-anak dan dewasa. Memadukan wisata alam pantai laut jawa dan goa alam Goa Maharani yang lengkap dengan kebun binatangnya yang berada dalam satu lokasi. Wisatawan datang dalam satu lokasi sekali parkir kendaraan bisa menikmati berbagai macam jenis wisata. Bagus. Tidak rugi jauh-jauh datang kesini. Perlu waktu sehari untuk menikmati seluruh anjungan lengkap dengan Maharani Zoo.,positif,,
wbl,Safety wahananya kurang,,negatif,
wbl,Sangat memuaskan,,,
wbl,Tempatnya menarik dan tempat parkirnya luas,positif,positif,
wbl,"Selalu suka studytour kesini, makin banyak wahananya",positif,,
wbl,"Emezing
Cuma minuman kemasan MiLO 110 ml di dalam kemahalan,7000 k",,negatif,
wbl,Tempat ini sangat indah dan cocok untuk anak-anak,positif,,
wbl,Sayang film 3 dimensi nya gak ganti²,negatif,,
wbl,Bagus wahana nya pngn ke situ lagi,positif,,
wbl,Mantap tempatnya cocok untuk liburan tempatnya adem rame,positif,,
wbl,Naik wahana yang sangat sangat memuaskan,positif,,
wbl,"Spotnya bagus buat foto dan rekreasi keluarga, terutama buat anak keci",positif,,
wbl,Wisata dengan wahana yang menegangkan,positif,,
wbl,Cukup menyenangkan.. Petugasnya ramah ramah..,,positif,
wbl,"Tempat rekreasi yang lengkap untuk keluarga, wahana yang bermacam macam dan penuh tantangan",positif,,
wbl,Alhamdulilah,,,
wbl,Sangat menyenangkan. Wahana juga lengkap...,positif,,
wbl,Banyak wahana baru,positif,,
wbl,Cocok liburan air + gua maharani,positif,,
wbl,Bagus kok tenang ada rumah hantu juga ko dan mainan yang bagus banget,positif,,
wbl,"masih terkesan biasa biasa saja.
perlu tambahan penataan ruang rekreasi, agar lbh menarik bagi pengunjung.
Untuk wisata MAZOLA perlu tambahan tempat duduk bagi pengunjung,  supaya tempat wisata semakin nyaman.",negatif,negatif,
