objek wisata,ulasan,atraksi1,atraksi2,atraksi3,amenitas1,amenitas2,amenitas3,aksesibilitas1,aksesibilitas2,aksesibilitas3,hasil atraksi,hasil amenitas,hasil aksesibilitas
alun alun,"di alun2 lamongan ada kuliner enak nasi uduk dengan berbagai macam pilihan lauk, aku lupa nge foto tapi saya beli waktu malam dan penjual nasi uduk di mobil carry

rekomended sekali",,positif,,positif,positif,positif,,,,,positif,
alun alun,Bagus nyaman dan bisa buat recomendasi tempat ternyaman melepas penat,,positif,positif,positif,,,,,,positif,,
alun alun,"Alun2 merupakan ciri khas suatu daerah biasanya terdapat kantor pusat pemerintahan daerah , ada lapangan buat acara2 masyarakat sekitar , ada masjid raya dll",,,,,positif,positif,,,,,positif,
alun alun,"Enak buat keluarga.
Ada kritik sedikit, masyarakatnya tidak tertib dalam membuang sampah. Harusnya tiap titik ada bak sampah dan ada tulisan tidak membuang sampah sembarangan.",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Ruang terbuka publik yang sangat bermanfaat bagi warga kota Lamongan, banyak fasilitas permainan yang tersedia tentu cocok sebagai tempat bersantai bagi keluarga. Penambahan toilet perlu dilakukan, mengingat tempat ini selalu ramai terutama hari sabtu dan minggu.",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Alun alun lamongan sangat bagus ,  tempatnya luas dan bnyk permainan anak"" jg a",positif,positif,positif,,,,,,,positif,,
alun alun,"tempat luas, fasilitas ada Playground,toilet umum,taman,kolam ikan, rekomended buat main bersama keluarga besar atau keluarga kecil.",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Alun alun yg luas setelah direnovasi terdapat bianglala besar seperti di kota batu malang. Kalau malam rame banget apalagi malam minggu. Banyak pedagang yg jualan di sisi barat alun alun.,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Suasananya enak, bersih dan rindang serta ada wahana permainannya pula.",positif,positif,positif,positif,positif,,,,,positif,positif,
alun alun,"Cocok buat jogging pagi2 saat ga banyak kendaraan, dekat dengan tempat kuliner dan tempat ibadah.",positif,positif,positif,,positif,positif,positif,,,positif,positif,
alun alun,tempatnya luas banyak aktifitas yang bisa dilakukan (mainan anak juga banyak) tapi kebersihan bisa lebih ditingkatkan,,positif,positif,negatif,negatif,negatif,,,,positif,negatif,
alun alun,"Alun2 kota yang jadi pusat berbagai kalangan, duduk2, atau sekedar berfoto-foto, di sini sudah tertata rapi dan bersih.",positif,positif,positif,positif,positif,,,,,positif,positif,
alun alun,"Agak panas, tempat berteduh masih sedikit",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Nyaman buat anak anak tapi sayangnya banyak tempat main yang mulai rusak contohnya perosotan yang mulai berlubang,negatif,negatif,negatif,,,positif,,,,negatif,,
alun alun,"Alun alun lamongan sekarang lebih bagus,banyak permainan anak  anak,air mancur menari dan juga ada bianglala gratis.anak anak pasti suka kalau di ajak ke sini tempatnya juga bersih dan nyaman",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Tempat yang sangat menarik, dan patut diacungi  jempol. ",positif,positif,positif,,,,,,,positif,,
alun alun,"Gowes dr Sidoarjo ke Lamongan mampir masjid Namira dan alun-alun kota Lamongan, ternyata alun alunnya besar cuma tulisan ikoniknya(alun-alun Lamongan) kurang besar dan jangan dilengkungkan soalnya dibuat foto gak keliatan,",negatif,negatif,negatif,,positif,,,,,negatif,,
alun alun,Bagus sih tapi kadang macet banget karena dekat dengan stasiun but overall luar biasa,,,,,,,negatif,negatif,negatif,,,negatif
alun alun,"Tempatnya kids friendly, bisa untuk mengenalkan anak² pada burung, banyak permainan yg bisa dimainkan",positif,positif,positif,,,,,,,positif,,
alun alun,"Tertata rapi,cocok buat destinasi wisata keluarga...pedagang nya sdh direlokasi",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Indah dan menawan.
Tempat nyantai duduk2 untuk bersantai bersama keluarga. Menikmati sejuk nya udara di malam hari",positif,positif,positif,positif,,,,,,positif,,
alun alun,"Bagus alun alunx... ada taman bermain anak,ada masjidx, spot foto2x jg banyak, tempatx bersih",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Banyak taman dan wahana permainan yang rusak,,,,positif,negatif,negatif,,,,,negatif,
alun alun,"Sejak ada bianglala dan bunga2 warna pink, alun2 jadi nampak indah, instagramable.. Apalagi kesini pagi2 dan sore2",positif,positif,positif,,positif,,,,,positif,,
alun alun,tempat nyaman juga bersih. jadi kangen main kesana,,positif,positif,positif,positif,,,,,positif,positif,
alun alun,Bagus bersih asri,positif,positif,positif,,positif,positif,,,,positif,positif,
alun alun,"Tempat luas,bersih,komplit,ada taman bermain,dekat masjid,dan kuliner,yang paling menarik bianglalanya free",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Tempatnya enak welcome bgt buat anak2 juga...,,positif,positif,positif,,,,,,positif,,
alun alun,"Bersih , rapi , banyak arena bermain , dan banyak spot foto bagus",positif,positif,positif,positif,positif,,,,,positif,positif,
alun alun,Tempat yg bisa jadi rekomendasi untuk berlibur bersama keluarga dan kerabat .,,positif,positif,positif,,,,,,positif,,
alun alun,"Banyak hal baru yg sy tmui dsana sjak thn 2005 hingga skg 2021
Kesanny skg jauh lbih Indah Bersih dan banyak media prmainan utk anak² cocok sekali utk bersantai brsama keluarga.
Alhamdulillah punya istri org Lamongan",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Tempatnya nyaman buat nongkrong..
Sayang untuk sarana bermain mohon untuk sgra diperbaiki soalnya banyak yg rusak...",,,,positif,negatif,negatif,,,,,negatif,
alun alun,Tempatnya strategis,,,,,,,positif,positif,positif,,,positif
alun alun,"Sangat recomend buat liburan keluarga, terimakasih juga buat penggiat literasinya bisa sambil baca buku",,positif,positif,positif,,,,,,positif,,
alun alun,Bersih dan terawat,,,,positif,positif,positif,,,,,positif,
alun alun,Tempatnya bersih dan nyaman buat nongkrong bersama keluarga,,,,positif,positif,positif,,,,,positif,
alun alun,"Tempatnya lumayan nyaman, asik buat menikmati udara malam dikota lamongan. Bianglala yang ada disana menambah keciamikan alun alun ini",,positif,positif,,,,,,,positif,,
alun alun,Alun alun kota Lamongan sekarang tambah bagus indah pemandangannya,positif,positif,positif,,,,,,,positif,,
alun alun,Bersih klo bisa mainan Yg udh rusak d bagus'i lg,,,,negatif,positif,negatif,,,,,negatif,
alun alun,"Ada permainan buat anak, tempat luas, dekat masjid Jami, sambil nunggu sholat",positif,,positif,positif,positif,positif,,,,positif,positif,
alun alun,sangat direkomendasikan untuk menghabiskan waktu dengan keluarga,,positif,positif,positif,,,,,,positif,,
alun alun,"Bagus tempat nya, perlu ditambah spot foto yg lebih",positif,positif,positif,,,,,,,positif,,
alun alun,Kereeen buat ajak main anak2 pas mudik asal jangan siang2 ya panas hehehehe,positif,positif,positif,,,,,,,positif,,
alun alun,relatif bersih dan bikin nyaman,,,,positif,positif,positif,,,,,positif,
alun alun,Cocok buat hiburan keluarga dikarenakan disini lengkap permainan buat anak2,,positif,positif,,,,,,,positif,,
alun alun,Mantab gratis naik bianglala,,positif,positif,,,,,,,positif,,
alun alun,Bru prtma kli main ksini.....yg pling kusaka ada swafoto psawat trbng.....dn biang lala,positif,positif,positif,,,,,,,positif,,
alun alun,Nasi sego Boran sip....,,positif,positif,,,,,,,positif,,
